191.00 -78.00 75.00 | 208.00 -40.00 -19.00
243.00 -62.00 -106.00 | 144.00 -34.00 -123.00
87.00 -60.00 -311.00 | 56.00 -31.00 -182.00
-170.00 -75.00 -247.00 | -56.00 -34.00 -198.00
-228.00 -71.00 -52.00 | -194.00 -15.00 -134.00
-162.00 -72.00 75.00 | -267.00 -3.00 75.00
-61.00 -70.00 133.00 | -66.00 5.00 281.00
49.00 -69.00 151.00 | 176.00 -4.00 198.00


-24.00 -75.00 -16.00 | -37.00 -27.00 -10.00
-26.00 -75.00 -4.00 | -10.00 -28.00 10.00
-11.00 -75.00 11.00 | 15.00 -29.00 0.00
19.00 -76.00 2.00 | 19.00 -32.00 -24.00
25.00 -76.00 -29.00 | 14.00 -27.00 -24.00
5.00 -76.00 -47.00 | 19.00 -28.00 -34.00
-23.00 -79.00 -38.00 | 1.00 -27.00 -51.00
-22.00 -80.00 -20.00 | -28.00 -28.00 -41.00


-54.00 -75.00 1.00 | -52.00 -36.00 -1.00
-34.00 -76.00 27.00 | -25.00 -38.00 24.00
9.00 -76.00 35.00 | 21.00 -35.00 28.00
45.00 -81.00 -7.00 | 49.00 -34.00 -15.00
44.00 -83.00 -37.00 | 46.00 -28.00 -46.00
14.00 -86.00 -67.00 | 19.00 -29.00 -77.00
-30.00 -86.00 -66.00 | -22.00 -30.00 -76.00
-55.00 -82.00 -35.00 | -54.00 -32.00 -43.00


-58.00 -111.00 17.00 | -57.00 -59.00 26.00
-22.00 -104.00 48.00 | -8.00 -62.00 51.00
24.00 -108.00 39.00 | 37.00 -67.00 36.00
62.00 -105.00 -2.00 | 69.00 -68.00 -7.00
52.00 -107.00 -58.00 | 56.00 -61.00 -58.00
5.00 -112.00 -85.00 | 16.00 -60.00 -91.00
-46.00 -114.00 -78.00 | -36.00 -58.00 -86.00
-70.00 -115.00 -28.00 | -69.00 -59.00 -30.00


-62.00 -73.00 5.00 | -64.00 -26.00 5.00
-34.00 -70.00 46.00 | -26.00 -28.00 44.00
18.00 -73.00 43.00 | 29.00 -32.00 40.00
52.00 -72.00 10.00 | 63.00 -35.00 1.00
52.00 -75.00 -48.00 | 56.00 -25.00 -58.00
13.00 -81.00 -77.00 | 18.00 -30.00 -88.00
-38.00 -80.00 -81.00 | -32.00 -26.00 -90.00
-75.00 -78.00 -27.00 | -70.00 -26.00 -36.00


-51.00 -85.00 -1.00 | -53.00 -38.00 7.00
-34.00 -85.00 33.00 | -18.00 -43.00 31.00
11.00 -85.00 36.00 | 28.00 -47.00 26.00
42.00 -90.00 1.00 | 48.00 -47.00 -8.00
41.00 -90.00 -50.00 | 48.00 -36.00 -51.00
2.00 -94.00 -72.00 | 18.00 -39.00 -80.00
-40.00 -96.00 -68.00 | -30.00 -38.00 -80.00
-56.00 -95.00 -36.00 | -54.00 -41.00 -37.00


-67.00 -97.00 24.00 | -50.00 -62.00 25.00
-22.00 -98.00 54.00 | -9.00 -64.00 44.00
38.00 -104.00 36.00 | 46.00 -60.00 35.00
57.00 -109.00 -20.00 | 73.00 -61.00 -17.00
30.00 -115.00 -66.00 | 49.00 -52.00 -77.00
-10.00 -114.00 -81.00 | -3.00 -53.00 -102.00
-63.00 -109.00 -74.00 | -63.00 -51.00 -75.00
-88.00 -102.00 -22.00 | -74.00 -56.00 -13.00


-41.00 -95.00 33.00 | -32.00 -53.00 36.00
0.00 -98.00 40.00 | 18.00 -55.00 41.00
41.00 -104.00 11.00 | 59.00 -57.00 4.00
45.00 -105.00 -32.00 | 56.00 -59.00 -43.00
20.00 -105.00 -74.00 | 27.00 -49.00 -80.00
-32.00 -105.00 -78.00 | -19.00 -50.00 -84.00
-75.00 -102.00 -49.00 | -62.00 -49.00 -54.00
-68.00 -100.00 9.00 | -60.00 -51.00 7.00


-46.00 -94.00 42.00 | -37.00 -47.00 41.00
5.00 -95.00 44.00 | 21.00 -51.00 43.00
45.00 -97.00 16.00 | 62.00 -51.00 11.00
53.00 -98.00 -39.00 | 68.00 -53.00 -52.00
21.00 -100.00 -78.00 | 27.00 -46.00 -85.00
-33.00 -100.00 -82.00 | -22.00 -48.00 -89.00
-77.00 -97.00 -53.00 | -65.00 -46.00 -56.00
-78.00 -96.00 5.00 | -68.00 -46.00 5.00


-60.00 -99.00 30.00 | -45.00 -55.00 30.00
-6.00 -101.00 49.00 | 9.00 -55.00 47.00
43.00 -105.00 18.00 | 59.00 -55.00 17.00
50.00 -107.00 -24.00 | 68.00 -58.00 -32.00
30.00 -106.00 -73.00 | 43.00 -50.00 -83.00
-18.00 -106.00 -83.00 | -9.00 -56.00 -92.00
-77.00 -97.00 -63.00 | -68.00 -49.00 -63.00
-87.00 -99.00 -11.00 | -72.00 -52.00 -9.00


-55.00 -112.00 31.00 | -44.00 -69.00 37.00
-6.00 -116.00 41.00 | 11.00 -68.00 48.00
41.00 -119.00 16.00 | 62.00 -64.00 19.00
49.00 -122.00 -41.00 | 67.00 -67.00 -46.00
22.00 -120.00 -83.00 | 31.00 -61.00 -85.00
-23.00 -117.00 -89.00 | -14.00 -65.00 -88.00
-74.00 -110.00 -59.00 | -60.00 -68.00 -56.00
-83.00 -110.00 3.00 | -69.00 -67.00 6.00


-42.00 -88.00 40.00 | -25.00 -46.00 40.00
12.00 -91.00 38.00 | 25.00 -47.00 41.00
45.00 -93.00 10.00 | 60.00 -44.00 11.00
50.00 -95.00 -38.00 | 69.00 -43.00 -39.00
14.00 -97.00 -75.00 | 27.00 -43.00 -84.00
-26.00 -96.00 -80.00 | -19.00 -43.00 -85.00
-73.00 -89.00 -55.00 | -64.00 -40.00 -49.00
-78.00 -87.00 5.00 | -62.00 -41.00 12.00


-54.00 -76.00 35.00 | -37.00 -36.00 41.00
-4.00 -80.00 47.00 | 13.00 -35.00 50.00
46.00 -79.00 19.00 | 64.00 -31.00 20.00
48.00 -90.00 -38.00 | 64.00 -37.00 -43.00
20.00 -89.00 -76.00 | 33.00 -35.00 -83.00
-28.00 -86.00 -84.00 | -18.00 -35.00 -87.00
-78.00 -79.00 -54.00 | -66.00 -32.00 -51.00
-82.00 -79.00 -2.00 | -67.00 -35.00 2.00


-64.00 -69.00 34.00 | -48.00 -29.00 39.00
-20.00 -71.00 53.00 | -3.00 -28.00 56.00
37.00 -77.00 31.00 | 55.00 -27.00 30.00
60.00 -80.00 -20.00 | 78.00 -25.00 -24.00
34.00 -84.00 -71.00 | 47.00 -28.00 -77.00
-10.00 -81.00 -91.00 | 0.00 -29.00 -96.00
-65.00 -74.00 -73.00 | -57.00 -28.00 -72.00
-90.00 -68.00 -12.00 | -78.00 -26.00 -8.00


-58.00 -65.00 36.00 | -43.00 -24.00 39.00
-7.00 -68.00 49.00 | 10.00 -23.00 54.00
42.00 -72.00 20.00 | 62.00 -23.00 21.00
55.00 -75.00 -35.00 | 73.00 -23.00 -43.00
27.00 -78.00 -77.00 | 37.00 -24.00 -82.00
-22.00 -76.00 -91.00 | -11.00 -23.00 -92.00
-78.00 -61.00 -68.00 | -67.00 -14.00 -66.00
-90.00 -65.00 -4.00 | -75.00 -19.00 -1.00


-58.00 -57.00 23.00 | -46.00 -17.00 25.00
