-51.00 -82.00 7.00 | -35.00 -21.00 19.00
-52.00 -82.00 6.00 | -35.00 -19.00 20.00
-53.00 -79.00 7.00 | -36.00 -19.00 21.00
-53.00 -76.00 7.00 | -36.00 -16.00 22.00
-52.00 -75.00 7.00 | -34.00 -15.00 22.00
-49.00 -72.00 9.00 | -33.00 -14.00 22.00
-46.00 -66.00 12.00 | -29.00 -13.00 23.00
-45.00 -63.00 13.00 | -28.00 -8.00 28.00
-44.00 -60.00 14.00 | -28.00 -6.00 28.00
-44.00 -58.00 15.00 | -26.00 -3.00 30.00
-43.00 -56.00 16.00 | -23.00 -1.00 34.00
-43.00 -54.00 20.00 | -22.00 1.00 36.00
-42.00 -49.00 26.00 | -21.00 5.00 43.00
-41.00 -48.00 27.00 | -18.00 6.00 49.00
-39.00 -43.00 33.00 | -16.00 8.00 53.00
-38.00 -42.00 38.00 | -13.00 7.00 56.00
-37.00 -39.00 42.00 | -11.00 8.00 62.00
-28.00 -38.00 52.00 | 2.00 7.00 67.00
-27.00 -40.00 54.00 | 6.00 7.00 71.00
-20.00 -41.00 57.00 | 19.00 7.00 73.00
-9.00 -45.00 59.00 | 36.00 6.00 70.00
2.00 -42.00 64.00 | 44.00 6.00 69.00
9.00 -40.00 66.00 | 58.00 7.00 62.00
26.00 -38.00 62.00 | 67.00 2.00 44.00
39.00 -42.00 49.00 | 70.00 -1.00 34.00
46.00 -44.00 42.00 | 68.00 -8.00 14.00
52.00 -46.00 27.00 | 62.00 -15.00 0.00
55.00 -50.00 11.00 | 57.00 -18.00 -3.00
51.00 -55.00 3.00 | 39.00 -21.00 -5.00
37.00 -62.00 -7.00 | 23.00 -23.00 -3.00
23.00 -66.00 -10.00 | 17.00 -24.00 -2.00
14.00 -69.00 -7.00 | 1.00 -22.00 4.00
-2.00 -69.00 0.00 | -10.00 -22.00 11.00
-19.00 -68.00 5.00 | -16.00 -21.00 12.00
-24.00 -70.00 6.00 | -25.00 -21.00 15.00
-32.00 -70.00 7.00 | -32.00 -22.00 15.00
-36.00 -69.00 9.00 | -34.00 -22.00 17.00
-39.00 -68.00 12.00 | -36.00 -22.00 21.00
-48.00 -68.00 12.00 | -43.00 -21.00 23.00
-52.00 -73.00 9.00 | -47.00 -25.00 21.00
-52.00 -76.00 10.00 | -46.00 -27.00 21.00
-58.00 -74.00 12.00 | -53.00 -26.00 24.00
-59.00 -76.00 15.00 | -54.00 -30.00 25.00
-63.00 -76.00 12.00 | -57.00 -31.00 23.00
-66.00 -82.00 10.00 | -60.00 -35.00 19.00
-69.00 -82.00 9.00 | -63.00 -38.00 18.00
-67.00 -85.00 9.00 | -62.00 -42.00 18.00
-67.00 -87.00 11.00 | -64.00 -42.00 20.00
-70.00 -93.00 9.00 | -64.00 -46.00 21.00
-72.00 -95.00 7.00 | -66.00 -48.00 19.00
-70.00 -99.00 7.00 | -63.00 -50.00 20.00
-71.00 -100.00 12.00 | -63.00 -51.00 27.00
-71.00 -102.00 15.00 | -65.00 -50.00 29.00
-73.00 -102.00 15.00 | -66.00 -50.00 29.00
-73.00 -104.00 13.00 | -66.00 -51.00 27.00
-75.00 -103.00 12.00 | -69.00 -50.00 26.00
-71.00 -102.00 18.00 | -67.00 -49.00 30.00
-75.00 -100.00 19.00 | -69.00 -45.00 30.00
-70.00 -102.00 19.00 | -65.00 -47.00 31.00
-72.00 -101.00 19.00 | -66.00 -46.00 28.00
-76.00 -97.00 21.00 | -68.00 -41.00 29.00
-75.00 -95.00 21.00 | -68.00 -38.00 29.00
-77.00 -92.00 17.00 | -70.00 -36.00 24.00
-78.00 -91.00 13.00 | -69.00 -35.00 19.00
-76.00 -91.00 10.00 | -68.00 -37.00 16.00
-75.00 -88.00 10.00 | -69.00 -34.00 13.00
-74.00 -85.00 8.00 | -67.00 -33.00 12.00
-76.00 -83.00 5.00 | -68.00 -32.00 11.00
-74.00 -84.00 3.00 | -65.00 -34.00 9.00
-74.00 -85.00 2.00 | -64.00 -34.00 12.00
-72.00 -85.00 4.00 | -63.00 -33.00 12.00
-71.00 -83.00 5.00 | -63.00 -33.00 16.00
-73.00 -83.00 3.00 | -64.00 -34.00 16.00
-72.00 -84.00 4.00 | -62.00 -35.00 16.00
-72.00 -84.00 5.00 | -63.00 -36.00 16.00
-71.00 -84.00 7.00 | -62.00 -38.00 19.00
-68.00 -83.00 12.00 | -64.00 -38.00 23.00
-71.00 -86.00 14.00 | -66.00 -36.00 25.00
-72.00 -86.00 13.00 | -67.00 -38.00 25.00
-70.00 -91.00 12.00 | -64.00 -43.00 23.00
-73.00 -91.00 14.00 | -66.00 -41.00 25.00
-71.00 -92.00 16.00 | -64.00 -42.00 26.00
-74.00 -93.00 13.00 | -66.00 -43.00 25.00
-75.00 -93.00 12.00 | -68.00 -42.00 23.00
-74.00 -95.00 9.00 | -68.00 -44.00 20.00
-74.00 -95.00 10.00 | -66.00 -46.00 23.00
-75.00 -93.00 14.00 | -66.00 -44.00 25.00
-75.00 -94.00 13.00 | -66.00 -43.00 30.00
-74.00 -95.00 16.00 | -63.00 -44.00 34.00
-68.00 -98.00 19.00 | -58.00 -48.00 35.00
-68.00 -98.00 21.00 | -57.00 -47.00 40.00
-66.00 -99.00 26.00 | -52.00 -48.00 46.00
-66.00 -102.00 26.00 | -55.00 -49.00 45.00
-66.00 -101.00 27.00 | -55.00 -50.00 48.00
-64.00 -104.00 31.00 | -53.00 -53.00 50.00
-60.00 -104.00 34.00 | -53.00 -53.00 50.00
-59.00 -103.00 38.00 | -49.00 -53.00 55.00
-58.00 -102.00 44.00 | -50.00 -50.00 60.00
-60.00 -102.00 46.00 | -53.00 -48.00 62.00
-57.00 -102.00 46.00 | -50.00 -50.00 62.00
-54.00 -104.00 47.00 | -47.00 -54.00 61.00
-54.00 -107.00 45.00 | -45.00 -55.00 59.00
-56.00 -106.00 45.00 | -49.00 -53.00 61.00
-55.00 -108.00 45.00 | -47.00 -54.00 60.00
-58.00 -107.00 44.00 | -50.00 -54.00 59.00
-59.00 -108.00 43.00 | -53.00 -54.00 56.00
-66.00 -109.00 36.00 | -62.00 -53.00 50.00
-69.00 -112.00 24.00 | -62.00 -56.00 45.00
-75.00 -112.00 20.00 | -72.00 -57.00 35.00
-73.00 -115.00 9.00 | -71.00 -61.00 22.00
-75.00 -116.00 4.00 | -73.00 -63.00 17.00
-73.00 -118.00 -5.00 | -73.00 -65.00 8.00
-73.00 -119.00 -13.00 | -73.00 -67.00 1.00
-72.00 -119.00 -21.00 | -73.00 -68.00 -8.00
-71.00 -119.00 -24.00 | -73.00 -69.00 -13.00
-70.00 -120.00 -32.00 | -72.00 -69.00 -22.00
-69.00 -119.00 -36.00 | -70.00 -70.00 -30.00
-68.00 -120.00 -43.00 | -70.00 -69.00 -32.00
-69.00 -118.00 -46.00 | -72.00 -67.00 -36.00
-71.00 -116.00 -47.00 | -75.00 -65.00 -35.00
