17.00 -118.00 -56.00 | 13.00 -74.00 -56.00
18.00 -117.00 -55.00 | 15.00 -74.00 -55.00
19.00 -117.00 -57.00 | 15.00 -74.00 -56.00
18.00 -116.00 -57.00 | 14.00 -74.00 -59.00
17.00 -117.00 -59.00 | 14.00 -74.00 -60.00
17.00 -117.00 -59.00 | 14.00 -73.00 -61.00
17.00 -116.00 -58.00 | 13.00 -73.00 -61.00
16.00 -116.00 -58.00 | 14.00 -72.00 -61.00
14.00 -116.00 -60.00 | 13.00 -71.00 -62.00
14.00 -115.00 -62.00 | 12.00 -71.00 -64.00
13.00 -113.00 -57.00 | 11.00 -70.00 -63.00
14.00 -111.00 -62.00 | 11.00 -69.00 -65.00
13.00 -108.00 -64.00 | 10.00 -66.00 -70.00
14.00 -108.00 -64.00 | 10.00 -65.00 -70.00
8.00 -107.00 -65.00 | 5.00 -65.00 -69.00
9.00 -105.00 -68.00 | 7.00 -63.00 -73.00
8.00 -105.00 -70.00 | 5.00 -61.00 -75.00
4.00 -103.00 -73.00 | 5.00 -60.00 -76.00
4.00 -102.00 -72.00 | 4.00 -58.00 -75.00
4.00 -102.00 -72.00 | 5.00 -58.00 -73.00
1.00 -102.00 -75.00 | 1.00 -56.00 -75.00
255.00 -100.00 -75.00 | 0.00 -53.00 -74.00
2.00 -98.00 -77.00 | 2.00 -51.00 -77.00
2.00 -94.00 -76.00 | 1.00 -47.00 -76.00
1.00 -93.00 -75.00 | 0.00 -45.00 -73.00
-2.00 -90.00 -73.00 | -4.00 -43.00 -72.00
-4.00 -88.00 -75.00 | -4.00 -40.00 -73.00
-5.00 -86.00 -75.00 | -4.00 -38.00 -72.00
-6.00 -85.00 -73.00 | -4.00 -36.00 -72.00
-8.00 -82.00 -70.00 | -4.00 -35.00 -71.00
-10.00 -80.00 -66.00 | -6.00 -32.00 -68.00
-13.00 -78.00 -69.00 | -7.00 -31.00 -69.00
-13.00 -74.00 -69.00 | -7.00 -28.00 -73.00
-12.00 -71.00 -72.00 | -6.00 -26.00 -75.00
-11.00 -70.00 -72.00 | -5.00 -27.00 -76.00
-10.00 -67.00 -72.00 | -4.00 -28.00 -78.00
-12.00 -69.00 -77.00 | -4.00 -29.00 -80.00
-11.00 -70.00 -79.00 | -3.00 -29.00 -82.00
-11.00 -71.00 -80.00 | 0.00 -31.00 -83.00
-9.00 -73.00 -82.00 | 0.00 -32.00 -82.00
-6.00 -75.00 -79.00 | 5.00 -34.00 -80.00
-4.00 -75.00 -78.00 | 9.00 -37.00 -79.00
0.00 -77.00 -79.00 | 8.00 -38.00 -78.00
2.00 -75.00 -79.00 | 12.00 -38.00 -77.00
5.00 -76.00 -77.00 | 14.00 -37.00 -78.00
10.00 -74.00 -78.00 | 16.00 -37.00 -81.00
