-52.00 -70.00 32.00 | -32.00 -42.00 61.00
-26.00 -78.00 36.00 | 1.00 -43.00 63.00
25.00 -100.00 24.00 | 55.00 -40.00 31.00
53.00 -105.00 -39.00 | 57.00 -38.00 -27.00
27.00 -103.00 -80.00 | 34.00 -35.00 -64.00
-23.00 -100.00 -92.00 | -9.00 -41.00 -72.00
-69.00 -93.00 -64.00 | -60.00 -56.00 -43.00
-73.00 -83.00 -10.00 | -79.00 -38.00 22.00


-63.00 -81.00 1.00 | -46.00 -37.00 51.00
-46.00 -93.00 27.00 | -12.00 -38.00 64.00
25.00 -105.00 18.00 | 43.00 -54.00 38.00
50.00 -100.00 -26.00 | 50.00 -54.00 1.00
31.00 -100.00 -70.00 | 40.00 -44.00 -39.00
-18.00 -100.00 -88.00 | -2.00 -57.00 -63.00
-65.00 -101.00 -74.00 | -58.00 -48.00 -46.00
-68.00 -105.00 -35.00 | -72.00 -39.00 4.00


-76.00 -79.00 3.00 | -51.00 -30.00 47.00
-32.00 -92.00 36.00 | 2.00 -33.00 66.00
24.00 -94.00 30.00 | 48.00 -37.00 51.00
57.00 -92.00 -15.00 | 65.00 -40.00 8.00
47.00 -93.00 -62.00 | 60.00 -38.00 -41.00
-4.00 -95.00 -91.00 | 8.00 -51.00 -70.00
-46.00 -98.00 -82.00 | -43.00 -49.00 -54.00
-71.00 -96.00 -41.00 | -70.00 -38.00 -3.00


-136.00 -69.00 -34.00 | -101.00 -32.00 7.00
-91.00 -73.00 51.00 | -82.00 -14.00 77.00
-14.00 -73.00 79.00 | -10.00 5.00 119.00
59.00 -79.00 42.00 | 102.00 -4.00 86.00
88.00 -84.00 -17.00 | 131.00 -19.00 -12.00
82.00 -77.00 -96.00 | 70.00 -34.00 -100.00
18.00 -68.00 -146.00 | -10.00 -40.00 -111.00
-79.00 -78.00 -136.00 | -72.00 -38.00 -72.00


-47.00 -30.00 -27.00 | -41.00 -12.00 -4.00
-48.00 -32.00 -4.00 | -32.00 -9.00 17.00
-26.00 -43.00 15.00 | -10.00 1.00 27.00
9.00 -55.00 11.00 | 20.00 14.00 15.00
26.00 -62.00 -9.00 | 33.00 18.00 -5.00
24.00 -65.00 -39.00 | 35.00 12.00 -34.00
