21.00 -58.00 49.00 | 28.00 -27.00 44.00
19.00 -60.00 47.00 | 28.00 -30.00 41.00
21.00 -60.00 46.00 | 28.00 -29.00 42.00
21.00 -60.00 48.00 | 30.00 -29.00 41.00
24.00 -60.00 50.00 | 30.00 -29.00 41.00
21.00 -63.00 47.00 | 29.00 -30.00 41.00
21.00 -64.00 45.00 | 29.00 -32.00 39.00
19.00 -66.00 44.00 | 30.00 -33.00 39.00
20.00 -65.00 48.00 | 30.00 -34.00 40.00
19.00 -64.00 48.00 | 29.00 -35.00 43.00
19.00 -70.00 43.00 | 26.00 -39.00 42.00
16.00 -72.00 46.00 | 25.00 -40.00 46.00
16.00 -76.00 46.00 | 22.00 -45.00 45.00
14.00 -82.00 44.00 | 22.00 -47.00 44.00
14.00 -84.00 46.00 | 21.00 -49.00 48.00
12.00 -85.00 47.00 | 17.00 -52.00 52.00
11.00 -89.00 46.00 | 19.00 -53.00 52.00
11.00 -92.00 47.00 | 19.00 -56.00 53.00
10.00 -97.00 46.00 | 20.00 -58.00 53.00
9.00 -97.00 49.00 | 20.00 -58.00 55.00
9.00 -94.00 57.00 | 21.00 -57.00 61.00
8.00 -97.00 56.00 | 18.00 -58.00 65.00
4.00 -98.00 58.00 | 15.00 -57.00 65.00
5.00 -103.00 57.00 | 15.00 -60.00 62.00
10.00 -103.00 59.00 | 17.00 -62.00 62.00
12.00 -103.00 61.00 | 20.00 -63.00 62.00
15.00 -101.00 66.00 | 22.00 -61.00 65.00
15.00 -104.00 62.00 | 23.00 -63.00 61.00
15.00 -104.00 60.00 | 24.00 -63.00 60.00
14.00 -104.00 61.00 | 25.00 -63.00 59.00
15.00 -103.00 60.00 | 26.00 -62.00 60.00
19.00 -100.00 66.00 | 28.00 -60.00 62.00
17.00 -97.00 65.00 | 26.00 -57.00 63.00
19.00 -98.00 65.00 | 27.00 -58.00 61.00
16.00 -98.00 66.00 | 27.00 -59.00 59.00
18.00 -101.00 61.00 | 27.00 -59.00 57.00
22.00 -101.00 60.00 | 31.00 -60.00 55.00
23.00 -101.00 61.00 | 33.00 -58.00 55.00
24.00 -98.00 63.00 | 30.00 -57.00 57.00
25.00 -97.00 58.00 | 34.00 -56.00 53.00
24.00 -98.00 55.00 | 34.00 -55.00 54.00
26.00 -97.00 53.00 | 38.00 -55.00 51.00
27.00 -96.00 54.00 | 39.00 -54.00 51.00
28.00 -93.00 57.00 | 40.00 -52.00 52.00
25.00 -92.00 55.00 | 38.00 -49.00 54.00
28.00 -93.00 53.00 | 40.00 -49.00 52.00
25.00 -89.00 59.00 | 37.00 -47.00 56.00
25.00 -92.00 56.00 | 38.00 -48.00 52.00
27.00 -91.00 55.00 | 39.00 -49.00 50.00
31.00 -88.00 57.00 | 41.00 -44.00 49.00
32.00 -86.00 58.00 | 42.00 -42.00 49.00
25.00 -86.00 55.00 | 38.00 -45.00 46.00
29.00 -83.00 53.00 | 42.00 -40.00 46.00
31.00 -83.00 51.00 | 46.00 -38.00 41.00
32.00 -82.00 50.00 | 46.00 -38.00 41.00
32.00 -79.00 52.00 | 47.00 -34.00 41.00
34.00 -73.00 55.00 | 48.00 -29.00 42.00
33.00 -70.00 48.00 | 46.00 -29.00 42.00
33.00 -64.00 52.00 | 44.00 -26.00 43.00
33.00 -67.00 50.00 | 46.00 -27.00 38.00
35.00 -68.00 45.00 | 46.00 -28.00 36.00
36.00 -68.00 44.00 | 48.00 -26.00 34.00
37.00 -66.00 45.00 | 49.00 -23.00 32.00
37.00 -62.00 43.00 | 49.00 -23.00 34.00
40.00 -62.00 41.00 | 51.00 -22.00 31.00
38.00 -62.00 39.00 | 50.00 -22.00 32.00
39.00 -62.00 35.00 | 51.00 -21.00 29.00
39.00 -61.00 35.00 | 52.00 -22.00 29.00
40.00 -58.00 38.00 | 52.00 -18.00 31.00
40.00 -52.00 41.00 | 53.00 -17.00 32.00
38.00 -53.00 39.00 | 52.00 -16.00 35.00
38.00 -51.00 45.00 | 52.00 -13.00 37.00
38.00 -53.00 43.00 | 52.00 -14.00 37.00
40.00 -53.00 44.00 | 51.00 -14.00 36.00
42.00 -51.00 46.00 | 51.00 -14.00 37.00
42.00 -50.00 48.00 | 51.00 -13.00 38.00
38.00 -52.00 45.00 | 48.00 -15.00 39.00
40.00 -50.00 47.00 | 49.00 -12.00 41.00
39.00 -52.00 43.00 | 49.00 -13.00 38.00
36.00 -52.00 44.00 | 48.00 -12.00 40.00
35.00 -50.00 46.00 | 45.00 -10.00 42.00
33.00 -47.00 49.00 | 42.00 -7.00 44.00
31.00 -45.00 50.00 | 43.00 -7.00 43.00
29.00 -45.00 53.00 | 37.00 -5.00 46.00
28.00 -46.00 52.00 | 38.00 -6.00 44.00
29.00 -46.00 51.00 | 37.00 -6.00 44.00
29.00 -45.00 51.00 | 37.00 -6.00 42.00
27.00 -44.00 50.00 | 37.00 -6.00 42.00
23.00 -46.00 44.00 | 37.00 -10.00 40.00
25.00 -46.00 44.00 | 37.00 -10.00 37.00
25.00 -48.00 42.00 | 37.00 -11.00 35.00
25.00 -49.00 41.00 | 37.00 -15.00 33.00
25.00 -48.00 42.00 | 36.00 -16.00 33.00
27.00 -47.00 43.00 | 36.00 -17.00 33.00
23.00 -53.00 40.00 | 32.00 -22.00 32.00
22.00 -54.00 42.00 | 29.00 -23.00 35.00
21.00 -60.00 37.00 | 31.00 -28.00 30.00
25.00 -64.00 34.00 | 31.00 -31.00 28.00
26.00 -66.00 34.00 | 31.00 -32.00 26.00
26.00 -67.00 35.00 | 30.00 -34.00 27.00
23.00 -71.00 29.00 | 29.00 -36.00 25.00
23.00 -72.00 31.00 | 28.00 -35.00 28.00
24.00 -74.00 29.00 | 28.00 -37.00 26.00
23.00 -76.00 27.00 | 29.00 -39.00 26.00
21.00 -75.00 31.00 | 26.00 -38.00 29.00
21.00 -75.00 32.00 | 26.00 -38.00 31.00
17.00 -79.00 30.00 | 22.00 -39.00 31.00
14.00 -78.00 33.00 | 17.00 -38.00 33.00
13.00 -81.00 32.00 | 18.00 -38.00 31.00
13.00 -81.00 33.00 | 17.00 -40.00 32.00
14.00 -81.00 33.00 | 18.00 -39.00 33.00
14.00 -80.00 37.00 | 18.00 -37.00 33.00
9.00 -81.00 33.00 | 13.00 -38.00 33.00
12.00 -80.00 35.00 | 15.00 -37.00 34.00
10.00 -80.00 32.00 | 14.00 -38.00 35.00
10.00 -82.00 31.00 | 14.00 -37.00 31.00
7.00 -84.00 29.00 | 11.00 -38.00 30.00
8.00 -84.00 29.00 | 14.00 -38.00 27.00
9.00 -84.00 29.00 | 14.00 -37.00 27.00
7.00 -84.00 29.00 | 12.00 -36.00 28.00
