27.00 -107.00 -54.00 | 21.00 -68.00 -64.00
27.00 -107.00 -54.00 | 22.00 -68.00 -65.00
27.00 -106.00 -54.00 | 22.00 -68.00 -65.00
27.00 -106.00 -53.00 | 21.00 -68.00 -65.00
28.00 -106.00 -53.00 | 22.00 -68.00 -66.00
29.00 -106.00 -54.00 | 21.00 -67.00 -66.00
26.00 -107.00 -55.00 | 20.00 -67.00 -67.00
26.00 -107.00 -58.00 | 20.00 -67.00 -70.00
26.00 -107.00 -61.00 | 18.00 -64.00 -72.00
25.00 -105.00 -62.00 | 18.00 -64.00 -74.00
24.00 -106.00 -63.00 | 16.00 -64.00 -74.00
21.00 -105.00 -63.00 | 14.00 -64.00 -74.00
16.00 -104.00 -65.00 | 9.00 -64.00 -74.00
15.00 -104.00 -66.00 | 10.00 -62.00 -76.00
13.00 -103.00 -67.00 | 7.00 -61.00 -76.00
12.00 -101.00 -69.00 | 9.00 -59.00 -78.00
8.00 -101.00 -71.00 | 5.00 -59.00 -78.00
8.00 -101.00 -71.00 | 6.00 -59.00 -77.00
8.00 -100.00 -68.00 | 6.00 -57.00 -75.00
6.00 -97.00 -74.00 | 5.00 -56.00 -77.00
8.00 -94.00 -72.00 | 8.00 -54.00 -75.00
7.00 -95.00 -71.00 | 7.00 -53.00 -76.00
7.00 -93.00 -71.00 | 5.00 -51.00 -78.00
6.00 -91.00 -72.00 | 4.00 -49.00 -77.00
7.00 -89.00 -69.00 | 4.00 -47.00 -74.00
3.00 -89.00 -72.00 | 2.00 -48.00 -73.00
4.00 -88.00 -67.00 | 3.00 -45.00 -72.00
2.00 -86.00 -69.00 | 1.00 -43.00 -72.00
0.00 -86.00 -70.00 | 2.00 -42.00 -71.00
-1.00 -85.00 -68.00 | 1.00 -40.00 -70.00
1.00 -84.00 -64.00 | 3.00 -40.00 -68.00
-1.00 -82.00 -66.00 | 4.00 -38.00 -69.00
0.00 -80.00 -67.00 | 5.00 -36.00 -70.00
0.00 -78.00 -64.00 | 3.00 -36.00 -69.00
0.00 -75.00 -64.00 | 3.00 -34.00 -72.00
-1.00 -74.00 -66.00 | 2.00 -34.00 -75.00
-2.00 -75.00 -65.00 | 2.00 -34.00 -75.00
-5.00 -73.00 -68.00 | 1.00 -35.00 -77.00
-3.00 -75.00 -70.00 | 2.00 -34.00 -78.00
-3.00 -74.00 -73.00 | 4.00 -34.00 -79.00
-3.00 -75.00 -75.00 | 5.00 -36.00 -80.00
-1.00 -75.00 -72.00 | 7.00 -37.00 -79.00
2.00 -75.00 -71.00 | 8.00 -39.00 -77.00
2.00 -75.00 -74.00 | 10.00 -38.00 -79.00
5.00 -75.00 -71.00 | 13.00 -38.00 -80.00
6.00 -75.00 -74.00 | 13.00 -38.00 -80.00
6.00 -75.00 -76.00 | 11.00 -38.00 -81.00
9.00 -75.00 -75.00 | 12.00 -38.00 -81.00
10.00 -76.00 -71.00 | 13.00 -39.00 -79.00
6.00 -77.00 -76.00 | 11.00 -39.00 -80.00
7.00 -78.00 -74.00 | 13.00 -41.00 -78.00
9.00 -78.00 -75.00 | 14.00 -39.00 -80.00
8.00 -77.00 -77.00 | 13.00 -39.00 -81.00
11.00 -76.00 -71.00 | 16.00 -40.00 -78.00
12.00 -76.00 -71.00 | 18.00 -41.00 -78.00
13.00 -75.00 -76.00 | 20.00 -39.00 -80.00
16.00 -76.00 -74.00 | 21.00 -38.00 -80.00
18.00 -75.00 -75.00 | 22.00 -39.00 -82.00
18.00 -73.00 -77.00 | 22.00 -37.00 -84.00
22.00 -73.00 -73.00 | 24.00 -38.00 -82.00
19.00 -74.00 -76.00 | 23.00 -39.00 -82.00
22.00 -75.00 -75.00 | 26.00 -37.00 -83.00
19.00 -75.00 -80.00 | 26.00 -37.00 -85.00
17.00 -75.00 -80.00 | 25.00 -37.00 -85.00
18.00 -75.00 -79.00 | 24.00 -38.00 -82.00
22.00 -76.00 -76.00 | 29.00 -37.00 -80.00
24.00 -74.00 -77.00 | 30.00 -36.00 -80.00
22.00 -76.00 -74.00 | 29.00 -38.00 -76.00
24.00 -73.00 -76.00 | 28.00 -34.00 -79.00
26.00 -72.00 -75.00 | 27.00 -33.00 -79.00
25.00 -71.00 -73.00 | 27.00 -32.00 -78.00
21.00 -72.00 -73.00 | 23.00 -34.00 -75.00
18.00 -74.00 -74.00 | 24.00 -33.00 -75.00
20.00 -71.00 -72.00 | 22.00 -33.00 -75.00
20.00 -69.00 -72.00 | 24.00 -30.00 -77.00
22.00 -68.00 -68.00 | 26.00 -29.00 -76.00
22.00 -67.00 -66.00 | 27.00 -29.00 -74.00
22.00 -66.00 -69.00 | 25.00 -28.00 -75.00
23.00 -65.00 -65.00 | 25.00 -27.00 -74.00
23.00 -64.00 -68.00 | 25.00 -25.00 -76.00
