-36.00 -76.00 -6.00 | -37.00 -24.00 14.00
-35.00 -76.00 -6.00 | -34.00 -25.00 14.00
-34.00 -76.00 -7.00 | -34.00 -25.00 14.00
-34.00 -77.00 -7.00 | -33.00 -26.00 14.00
-33.00 -78.00 -6.00 | -33.00 -26.00 14.00
-33.00 -77.00 -6.00 | -33.00 -25.00 16.00
-34.00 -76.00 -4.00 | -32.00 -25.00 18.00
-34.00 -76.00 -5.00 | -30.00 -25.00 19.00
-34.00 -77.00 -4.00 | -28.00 -26.00 19.00
-33.00 -77.00 -5.00 | -25.00 -27.00 20.00
-32.00 -76.00 -3.00 | -24.00 -26.00 22.00
-32.00 -76.00 -1.00 | -22.00 -26.00 23.00
-30.00 -77.00 -1.00 | -16.00 -27.00 24.00
-31.00 -77.00 -1.00 | -14.00 -27.00 24.00
-31.00 -78.00 -1.00 | -12.00 -28.00 24.00
-30.00 -77.00 0.00 | -11.00 -29.00 24.00
-30.00 -77.00 1.00 | -8.00 -29.00 25.00
-28.00 -78.00 2.00 | -4.00 -29.00 24.00
-28.00 -77.00 3.00 | -3.00 -29.00 24.00
-27.00 -78.00 5.00 | 1.00 -30.00 23.00
-26.00 -78.00 6.00 | 4.00 -31.00 23.00
-24.00 -78.00 7.00 | 5.00 -30.00 23.00
-23.00 -78.00 8.00 | 7.00 -31.00 21.00
-24.00 -78.00 8.00 | 7.00 -31.00 20.00
-22.00 -78.00 8.00 | 8.00 -32.00 18.00
-19.00 -79.00 9.00 | 12.00 -32.00 16.00
-17.00 -79.00 10.00 | 14.00 -33.00 15.00
-16.00 -80.00 10.00 | 14.00 -33.00 13.00
-13.00 -79.00 11.00 | 16.00 -33.00 11.00
-10.00 -79.00 10.00 | 18.00 -34.00 10.00
-9.00 -80.00 11.00 | 18.00 -35.00 8.00
-9.00 -79.00 11.00 | 18.00 -34.00 8.00
-6.00 -81.00 11.00 | 18.00 -34.00 7.00
-7.00 -80.00 11.00 | 19.00 -35.00 5.00
-3.00 -81.00 9.00 | 20.00 -35.00 4.00
-1.00 -81.00 7.00 | 20.00 -36.00 0.00
2.00 -81.00 6.00 | 20.00 -36.00 -3.00
4.00 -82.00 4.00 | 20.00 -35.00 -5.00
7.00 -82.00 2.00 | 20.00 -34.00 -7.00
9.00 -82.00 2.00 | 21.00 -35.00 -10.00
11.00 -83.00 -2.00 | 20.00 -34.00 -12.00
14.00 -83.00 -4.00 | 20.00 -34.00 -13.00
14.00 -83.00 -6.00 | 18.00 -34.00 -14.00
16.00 -82.00 -9.00 | 17.00 -34.00 -18.00
18.00 -84.00 -13.00 | 17.00 -33.00 -18.00
17.00 -84.00 -15.00 | 15.00 -34.00 -21.00
18.00 -83.00 -18.00 | 15.00 -33.00 -22.00
18.00 -84.00 -22.00 | 15.00 -32.00 -22.00
18.00 -84.00 -22.00 | 13.00 -32.00 -24.00
16.00 -85.00 -27.00 | 12.00 -32.00 -24.00
17.00 -85.00 -28.00 | 10.00 -31.00 -26.00
15.00 -85.00 -32.00 | 10.00 -32.00 -27.00
15.00 -84.00 -36.00 | 9.00 -31.00 -29.00
13.00 -84.00 -39.00 | 9.00 -31.00 -29.00
12.00 -85.00 -42.00 | 7.00 -32.00 -30.00
11.00 -84.00 -43.00 | 7.00 -30.00 -30.00
8.00 -84.00 -46.00 | 7.00 -31.00 -31.00
7.00 -84.00 -47.00 | 8.00 -30.00 -30.00
6.00 -83.00 -50.00 | 7.00 -31.00 -32.00
5.00 -84.00 -50.00 | 7.00 -30.00 -32.00
4.00 -82.00 -51.00 | 6.00 -31.00 -33.00
4.00 -82.00 -52.00 | 7.00 -31.00 -33.00
3.00 -83.00 -52.00 | 6.00 -32.00 -33.00
3.00 -84.00 -53.00 | 6.00 -31.00 -34.00
0.00 -83.00 -54.00 | 5.00 -31.00 -33.00
-1.00 -83.00 -54.00 | 5.00 -31.00 -35.00
-1.00 -83.00 -54.00 | 5.00 -31.00 -34.00
-3.00 -83.00 -55.00 | 4.00 -32.00 -35.00
-6.00 -83.00 -55.00 | 4.00 -32.00 -34.00
-7.00 -84.00 -57.00 | 3.00 -31.00 -35.00
-10.00 -83.00 -56.00 | 2.00 -32.00 -35.00
-11.00 -82.00 -57.00 | 1.00 -30.00 -35.00
-12.00 -83.00 -57.00 | 2.00 -31.00 -37.00
-15.00 -82.00 -58.00 | 0.00 -32.00 -37.00
-18.00 -83.00 -57.00 | -2.00 -32.00 -38.00
-20.00 -83.00 -58.00 | -2.00 -33.00 -38.00
-22.00 -82.00 -58.00 | -3.00 -32.00 -41.00
-25.00 -82.00 -58.00 | -3.00 -31.00 -41.00
-26.00 -82.00 -58.00 | -5.00 -32.00 -41.00
-29.00 -82.00 -56.00 | -8.00 -32.00 -41.00
-32.00 -82.00 -55.00 | -8.00 -32.00 -41.00
-34.00 -81.00 -55.00 | -10.00 -31.00 -43.00
-35.00 -81.00 -54.00 | -12.00 -31.00 -43.00
-37.00 -81.00 -52.00 | -12.00 -31.00 -42.00
-39.00 -81.00 -51.00 | -15.00 -32.00 -43.00
-40.00 -81.00 -49.00 | -17.00 -32.00 -43.00
-42.00 -82.00 -45.00 | -18.00 -30.00 -42.00
-42.00 -82.00 -46.00 | -19.00 -31.00 -43.00
-43.00 -81.00 -44.00 | -21.00 -31.00 -43.00
-44.00 -81.00 -43.00 | -23.00 -30.00 -43.00
-46.00 -81.00 -42.00 | -23.00 -30.00 -43.00
-46.00 -81.00 -41.00 | -26.00 -31.00 -43.00
-47.00 -81.00 -39.00 | -27.00 -30.00 -41.00
-48.00 -82.00 -37.00 | -28.00 -29.00 -40.00
-48.00 -81.00 -37.00 | -31.00 -29.00 -40.00
-48.00 -81.00 -35.00 | -32.00 -29.00 -39.00
-49.00 -81.00 -33.00 | -34.00 -28.00 -38.00
