18.00 -62.00 53.00 | 24.00 -30.00 44.00
21.00 -64.00 53.00 | 27.00 -30.00 42.00
21.00 -66.00 50.00 | 27.00 -31.00 41.00
21.00 -66.00 49.00 | 26.00 -32.00 41.00
20.00 -67.00 48.00 | 25.00 -33.00 40.00
20.00 -68.00 48.00 | 26.00 -34.00 40.00
21.00 -67.00 49.00 | 27.00 -34.00 42.00
20.00 -65.00 52.00 | 26.00 -34.00 45.00
18.00 -68.00 49.00 | 23.00 -37.00 47.00
13.00 -70.00 50.00 | 19.00 -39.00 49.00
15.00 -75.00 48.00 | 20.00 -41.00 47.00
15.00 -75.00 48.00 | 20.00 -44.00 47.00
15.00 -80.00 48.00 | 19.00 -46.00 47.00
16.00 -82.00 50.00 | 20.00 -49.00 49.00
14.00 -85.00 49.00 | 18.00 -51.00 50.00
16.00 -88.00 51.00 | 20.00 -53.00 51.00
15.00 -88.00 52.00 | 18.00 -55.00 53.00
15.00 -91.00 52.00 | 20.00 -56.00 54.00
13.00 -94.00 55.00 | 18.00 -57.00 55.00
13.00 -93.00 58.00 | 19.00 -57.00 61.00
12.00 -93.00 60.00 | 19.00 -58.00 62.00
8.00 -96.00 60.00 | 15.00 -59.00 64.00
7.00 -97.00 64.00 | 15.00 -60.00 65.00
8.00 -101.00 61.00 | 13.00 -61.00 65.00
10.00 -103.00 61.00 | 16.00 -63.00 62.00
14.00 -103.00 66.00 | 18.00 -61.00 64.00
9.00 -101.00 66.00 | 13.00 -62.00 64.00
13.00 -103.00 65.00 | 20.00 -63.00 62.00
11.00 -103.00 63.00 | 21.00 -62.00 62.00
14.00 -103.00 62.00 | 24.00 -62.00 60.00
17.00 -101.00 64.00 | 25.00 -60.00 62.00
18.00 -100.00 66.00 | 27.00 -57.00 63.00
15.00 -101.00 59.00 | 26.00 -58.00 61.00
16.00 -97.00 62.00 | 27.00 -57.00 60.00
18.00 -100.00 61.00 | 27.00 -57.00 59.00
21.00 -100.00 58.00 | 28.00 -57.00 57.00
24.00 -97.00 61.00 | 28.00 -55.00 57.00
26.00 -95.00 63.00 | 31.00 -54.00 59.00
19.00 -92.00 60.00 | 28.00 -51.00 60.00
21.00 -91.00 59.00 | 31.00 -50.00 59.00
26.00 -91.00 59.00 | 33.00 -51.00 59.00
