-47.00 -75.00 19.00 | -41.00 -28.00 16.00
-47.00 -73.00 21.00 | -42.00 -27.00 17.00
-46.00 -73.00 21.00 | -42.00 -26.00 17.00
-46.00 -72.00 21.00 | -41.00 -27.00 18.00
-47.00 -73.00 20.00 | -40.00 -25.00 17.00
-46.00 -73.00 22.00 | -38.00 -25.00 18.00
-42.00 -72.00 23.00 | -36.00 -25.00 18.00
-41.00 -66.00 26.00 | -36.00 -21.00 19.00
-42.00 -63.00 26.00 | -36.00 -19.00 20.00
-43.00 -62.00 22.00 | -34.00 -16.00 20.00
-44.00 -59.00 24.00 | -35.00 -11.00 22.00
-44.00 -59.00 22.00 | -35.00 -11.00 22.00
-43.00 -56.00 24.00 | -33.00 -7.00 24.00
-39.00 -54.00 28.00 | -31.00 -5.00 26.00
-37.00 -48.00 31.00 | -30.00 -3.00 28.00
-37.00 -46.00 31.00 | -28.00 0.00 30.00
-37.00 -44.00 31.00 | -26.00 2.00 32.00
-37.00 -44.00 33.00 | -24.00 2.00 35.00
-34.00 -40.00 37.00 | -22.00 5.00 39.00
-34.00 -37.00 40.00 | -19.00 7.00 44.00
-33.00 -34.00 41.00 | -19.00 8.00 46.00
-34.00 -34.00 45.00 | -16.00 9.00 50.00
-34.00 -32.00 49.00 | -16.00 11.00 55.00
-32.00 -34.00 51.00 | -14.00 9.00 56.00
-31.00 -32.00 54.00 | -11.00 10.00 61.00
-20.00 -32.00 66.00 | -2.00 9.00 68.00
-21.00 -30.00 64.00 | 6.00 9.00 72.00
-16.00 -32.00 68.00 | 12.00 9.00 74.00
-11.00 -32.00 69.00 | 24.00 9.00 76.00
-2.00 -32.00 75.00 | 37.00 9.00 75.00
10.00 -28.00 82.00 | 44.00 10.00 74.00
15.00 -27.00 81.00 | 56.00 11.00 68.00
26.00 -27.00 79.00 | 65.00 9.00 57.00
37.00 -28.00 77.00 | 68.00 8.00 50.00
43.00 -29.00 74.00 | 73.00 2.00 34.00
59.00 -31.00 62.00 | 74.00 -3.00 16.00
68.00 -32.00 47.00 | 72.00 -5.00 8.00
65.00 -35.00 33.00 | 62.00 -11.00 -7.00
63.00 -36.00 20.00 | 51.00 -11.00 -11.00
55.00 -40.00 7.00 | 39.00 -15.00 -13.00
45.00 -46.00 0.00 | 34.00 -17.00 -12.00
39.00 -48.00 5.00 | 21.00 -18.00 -3.00
25.00 -51.00 6.00 | 7.00 -20.00 3.00
11.00 -56.00 17.00 | 2.00 -20.00 6.00
6.00 -58.00 15.00 | -8.00 -20.00 8.00
-3.00 -59.00 14.00 | -17.00 -20.00 9.00
-7.00 -60.00 15.00 | -19.00 -22.00 11.00
-16.00 -59.00 20.00 | -26.00 -19.00 15.00
-28.00 -58.00 19.00 | -31.00 -20.00 19.00
-27.00 -60.00 23.00 | -32.00 -20.00 21.00
-35.00 -61.00 19.00 | -35.00 -21.00 22.00
-41.00 -62.00 21.00 | -39.00 -21.00 23.00
-44.00 -59.00 27.00 | -44.00 -20.00 27.00
-50.00 -57.00 23.00 | -50.00 -21.00 26.00
-55.00 -63.00 25.00 | -50.00 -24.00 25.00
-56.00 -67.00 23.00 | -55.00 -26.00 22.00
-58.00 -65.00 23.00 | -57.00 -26.00 21.00
-56.00 -67.00 26.00 | -58.00 -28.00 23.00
-56.00 -66.00 27.00 | -61.00 -31.00 26.00
-63.00 -68.00 23.00 | -62.00 -30.00 26.00
-63.00 -71.00 28.00 | -62.00 -33.00 29.00
-63.00 -75.00 28.00 | -60.00 -38.00 29.00
-64.00 -77.00 28.00 | -61.00 -39.00 28.00
-63.00 -79.00 31.00 | -62.00 -41.00 31.00
-69.00 -80.00 21.00 | -67.00 -41.00 29.00
-68.00 -83.00 24.00 | -67.00 -43.00 30.00
-70.00 -87.00 26.00 | -67.00 -46.00 30.00
-66.00 -89.00 26.00 | -67.00 -49.00 28.00
-63.00 -92.00 27.00 | -65.00 -51.00 27.00
-63.00 -92.00 30.00 | -66.00 -50.00 29.00
-72.00 -95.00 21.00 | -69.00 -49.00 29.00
-70.00 -97.00 25.00 | -68.00 -49.00 32.00
-68.00 -99.00 25.00 | -64.00 -51.00 32.00
-69.00 -98.00 26.00 | -63.00 -50.00 33.00
-67.00 -97.00 31.00 | -63.00 -48.00 38.00
-69.00 -96.00 29.00 | -62.00 -47.00 36.00
-70.00 -96.00 30.00 | -64.00 -46.00 34.00
-71.00 -97.00 25.00 | -68.00 -45.00 30.00
-71.00 -95.00 25.00 | -68.00 -44.00 27.00
-69.00 -92.00 27.00 | -68.00 -41.00 27.00
-70.00 -87.00 28.00 | -69.00 -39.00 27.00
-72.00 -87.00 26.00 | -68.00 -38.00 25.00
-72.00 -87.00 25.00 | -70.00 -35.00 24.00
-72.00 -86.00 21.00 | -67.00 -36.00 21.00
-72.00 -86.00 21.00 | -67.00 -34.00 19.00
-70.00 -83.00 23.00 | -66.00 -34.00 21.00
-72.00 -82.00 18.00 | -68.00 -32.00 18.00
-75.00 -82.00 15.00 | -70.00 -30.00 16.00
-75.00 -82.00 11.00 | -69.00 -29.00 13.00
-73.00 -80.00 7.00 | -70.00 -31.00 10.00
-71.00 -80.00 9.00 | -67.00 -31.00 13.00
-70.00 -77.00 12.00 | -66.00 -31.00 15.00
-70.00 -79.00 10.00 | -65.00 -32.00 16.00
-71.00 -78.00 11.00 | -63.00 -33.00 17.00
-71.00 -81.00 10.00 | -63.00 -34.00 18.00
-69.00 -82.00 13.00 | -62.00 -36.00 20.00
-67.00 -83.00 15.00 | -60.00 -38.00 23.00
-68.00 -86.00 11.00 | -62.00 -38.00 22.00
-68.00 -87.00 15.00 | -62.00 -40.00 22.00
-67.00 -90.00 12.00 | -63.00 -42.00 20.00
-66.00 -90.00 14.00 | -63.00 -43.00 19.00
-65.00 -89.00 19.00 | -64.00 -43.00 21.00
-68.00 -89.00 17.00 | -67.00 -41.00 23.00
-68.00 -90.00 16.00 | -67.00 -42.00 23.00
-69.00 -91.00 16.00 | -67.00 -42.00 24.00
-70.00 -91.00 16.00 | -66.00 -44.00 24.00
-71.00 -90.00 19.00 | -64.00 -42.00 26.00
-66.00 -90.00 23.00 | -63.00 -43.00 28.00
-70.00 -90.00 18.00 | -63.00 -43.00 28.00
-72.00 -89.00 19.00 | -66.00 -42.00 29.00
-70.00 -92.00 18.00 | -63.00 -44.00 28.00
-70.00 -92.00 18.00 | -64.00 -45.00 28.00
-67.00 -91.00 23.00 | -62.00 -46.00 34.00
-69.00 -89.00 27.00 | -64.00 -43.00 40.00
-66.00 -93.00 31.00 | -58.00 -45.00 44.00
-67.00 -92.00 30.00 | -58.00 -44.00 46.00
-63.00 -95.00 33.00 | -54.00 -48.00 49.00
-63.00 -96.00 39.00 | -54.00 -48.00 53.00
-62.00 -96.00 42.00 | -50.00 -48.00 57.00
-64.00 -96.00 41.00 | -55.00 -47.00 58.00
