-67.00 -96.00 -45.00 | -75.00 -53.00 -40.00
-66.00 -97.00 -46.00 | -76.00 -54.00 -41.00
-66.00 -97.00 -45.00 | -76.00 -53.00 -41.00
-67.00 -97.00 -45.00 | -77.00 -52.00 -39.00
-68.00 -98.00 -43.00 | -76.00 -54.00 -37.00
-66.00 -100.00 -42.00 | -75.00 -55.00 -35.00
-66.00 -100.00 -40.00 | -73.00 -56.00 -33.00
-65.00 -103.00 -40.00 | -73.00 -57.00 -32.00
-64.00 -104.00 -41.00 | -73.00 -59.00 -35.00
-65.00 -103.00 -41.00 | -74.00 -58.00 -32.00
-68.00 -103.00 -39.00 | -75.00 -57.00 -31.00
-69.00 -104.00 -41.00 | -75.00 -57.00 -32.00
-72.00 -104.00 -39.00 | -77.00 -55.00 -29.00
-72.00 -105.00 -37.00 | -78.00 -56.00 -30.00
-72.00 -104.00 -34.00 | -77.00 -56.00 -27.00
-71.00 -103.00 -29.00 | -78.00 -57.00 -23.00
-73.00 -102.00 -27.00 | -78.00 -55.00 -22.00
-76.00 -101.00 -28.00 | -79.00 -55.00 -21.00
-75.00 -102.00 -25.00 | -77.00 -55.00 -18.00
-76.00 -101.00 -24.00 | -77.00 -54.00 -17.00
-77.00 -101.00 -24.00 | -79.00 -55.00 -18.00
-79.00 -101.00 -22.00 | -80.00 -53.00 -17.00
-79.00 -101.00 -21.00 | -79.00 -53.00 -16.00
-77.00 -103.00 -19.00 | -78.00 -54.00 -15.00
-74.00 -103.00 -19.00 | -74.00 -56.00 -14.00
-74.00 -102.00 -18.00 | -74.00 -55.00 -15.00
-73.00 -103.00 -19.00 | -73.00 -56.00 -15.00
-72.00 -101.00 -21.00 | -74.00 -56.00 -17.00
-74.00 -101.00 -20.00 | -73.00 -56.00 -17.00
-74.00 -102.00 -21.00 | -73.00 -55.00 -18.00
-74.00 -102.00 -21.00 | -74.00 -54.00 -18.00
-75.00 -102.00 -20.00 | -73.00 -54.00 -18.00
-74.00 -102.00 -21.00 | -73.00 -54.00 -19.00
-74.00 -102.00 -18.00 | -73.00 -54.00 -19.00
-73.00 -99.00 -16.00 | -75.00 -53.00 -16.00
-72.00 -98.00 -14.00 | -73.00 -54.00 -16.00
-71.00 -97.00 -11.00 | -74.00 -54.00 -15.00
-73.00 -97.00 -12.00 | -74.00 -52.00 -14.00
-73.00 -97.00 -14.00 | -73.00 -53.00 -16.00
-75.00 -98.00 -15.00 | -74.00 -53.00 -17.00
-75.00 -98.00 -18.00 | -74.00 -53.00 -18.00
-72.00 -99.00 -19.00 | -72.00 -54.00 -19.00
-71.00 -98.00 -19.00 | -71.00 -54.00 -19.00
-69.00 -99.00 -19.00 | -70.00 -55.00 -21.00
-68.00 -100.00 -22.00 | -70.00 -55.00 -23.00
-69.00 -98.00 -21.00 | -70.00 -55.00 -23.00
-69.00 -99.00 -25.00 | -69.00 -55.00 -25.00
-70.00 -99.00 -26.00 | -70.00 -53.00 -27.00
-71.00 -99.00 -26.00 | -72.00 -53.00 -27.00
-71.00 -98.00 -25.00 | -72.00 -53.00 -27.00
-70.00 -98.00 -23.00 | -73.00 -52.00 -25.00
-70.00 -95.00 -20.00 | -74.00 -51.00 -24.00
-72.00 -96.00 -23.00 | -74.00 -52.00 -25.00
-71.00 -94.00 -21.00 | -73.00 -51.00 -24.00
-72.00 -94.00 -23.00 | -74.00 -50.00 -23.00
-72.00 -96.00 -23.00 | -73.00 -52.00 -25.00
-72.00 -97.00 -24.00 | -73.00 -51.00 -26.00
-72.00 -97.00 -27.00 | -72.00 -51.00 -28.00
-70.00 -97.00 -30.00 | -71.00 -53.00 -31.00
-69.00 -97.00 -30.00 | -70.00 -52.00 -30.00
-68.00 -97.00 -31.00 | -69.00 -52.00 -32.00
-67.00 -97.00 -33.00 | -69.00 -53.00 -33.00
-67.00 -96.00 -31.00 | -69.00 -53.00 -32.00
-68.00 -98.00 -32.00 | -69.00 -52.00 -32.00
-69.00 -95.00 -32.00 | -69.00 -52.00 -33.00
-69.00 -97.00 -33.00 | -70.00 -53.00 -33.00
-70.00 -96.00 -33.00 | -71.00 -51.00 -34.00
-72.00 -96.00 -34.00 | -72.00 -50.00 -35.00
-73.00 -96.00 -33.00 | -73.00 -50.00 -34.00
-73.00 -94.00 -33.00 | -73.00 -49.00 -33.00
-71.00 -93.00 -33.00 | -72.00 -51.00 -34.00
-71.00 -93.00 -33.00 | -73.00 -52.00 -32.00
-70.00 -95.00 -31.00 | -72.00 -52.00 -34.00
-73.00 -96.00 -33.00 | -72.00 -52.00 -33.00
-72.00 -96.00 -34.00 | -72.00 -52.00 -35.00
-72.00 -95.00 -36.00 | -71.00 -53.00 -35.00
