19.00 -91.00 -64.00 | 25.00 -40.00 -72.00
23.00 -90.00 -65.00 | 28.00 -39.00 -73.00
24.00 -90.00 -63.00 | 29.00 -39.00 -70.00
25.00 -90.00 -61.00 | 32.00 -40.00 -69.00
27.00 -90.00 -59.00 | 33.00 -40.00 -67.00
28.00 -89.00 -61.00 | 33.00 -39.00 -69.00
26.00 -89.00 -62.00 | 32.00 -39.00 -69.00
23.00 -89.00 -65.00 | 31.00 -39.00 -71.00
22.00 -89.00 -66.00 | 25.00 -39.00 -74.00
16.00 -90.00 -67.00 | 22.00 -39.00 -75.00
13.00 -91.00 -68.00 | 19.00 -39.00 -74.00
11.00 -91.00 -69.00 | 15.00 -40.00 -77.00
6.00 -90.00 -71.00 | 10.00 -39.00 -77.00
2.00 -90.00 -72.00 | 8.00 -39.00 -79.00
-1.00 -90.00 -73.00 | 4.00 -39.00 -79.00
-3.00 -90.00 -74.00 | -1.00 -39.00 -78.00
-7.00 -90.00 -72.00 | -2.00 -39.00 -79.00
-9.00 -90.00 -74.00 | -5.00 -39.00 -80.00
-12.00 -91.00 -74.00 | -9.00 -39.00 -80.00
-13.00 -90.00 -74.00 | -9.00 -38.00 -79.00
-13.00 -90.00 -74.00 | -9.00 -39.00 -80.00
-15.00 -89.00 -74.00 | -14.00 -37.00 -80.00
-19.00 -88.00 -75.00 | -15.00 -37.00 -80.00
-24.00 -87.00 -75.00 | -20.00 -36.00 -81.00
-27.00 -88.00 -74.00 | -24.00 -36.00 -79.00
-28.00 -88.00 -74.00 | -25.00 -36.00 -79.00
-28.00 -88.00 -73.00 | -23.00 -36.00 -78.00
-33.00 -88.00 -71.00 | -28.00 -36.00 -77.00
-36.00 -88.00 -71.00 | -34.00 -36.00 -74.00
-41.00 -87.00 -70.00 | -36.00 -36.00 -73.00
-45.00 -86.00 -65.00 | -41.00 -35.00 -71.00
-47.00 -87.00 -65.00 | -45.00 -35.00 -69.00
-52.00 -86.00 -63.00 | -48.00 -33.00 -67.00
-53.00 -85.00 -62.00 | -51.00 -33.00 -64.00
-56.00 -84.00 -59.00 | -54.00 -33.00 -60.00
-61.00 -85.00 -55.00 | -55.00 -33.00 -58.00
-61.00 -85.00 -52.00 | -57.00 -34.00 -55.00
-62.00 -85.00 -51.00 | -59.00 -34.00 -51.00
-65.00 -85.00 -47.00 | -61.00 -34.00 -48.00
-66.00 -84.00 -45.00 | -61.00 -33.00 -47.00
-67.00 -83.00 -44.00 | -62.00 -33.00 -44.00
-66.00 -85.00 -40.00 | -63.00 -33.00 -40.00
-69.00 -84.00 -34.00 | -64.00 -33.00 -37.00
-70.00 -83.00 -32.00 | -65.00 -33.00 -32.00
-70.00 -83.00 -27.00 | -66.00 -33.00 -26.00
-71.00 -84.00 -22.00 | -66.00 -34.00 -23.00
-71.00 -84.00 -19.00 | -67.00 -34.00 -19.00
-71.00 -84.00 -16.00 | -65.00 -35.00 -15.00
-72.00 -82.00 -12.00 | -67.00 -33.00 -10.00
-72.00 -83.00 -9.00 | -66.00 -33.00 -9.00
-70.00 -82.00 -7.00 | -66.00 -34.00 -6.00
-70.00 -83.00 -3.00 | -64.00 -33.00 -2.00
-69.00 -83.00 1.00 | -63.00 -33.00 1.00
-69.00 -82.00 3.00 | -62.00 -33.00 5.00
-66.00 -82.00 7.00 | -61.00 -33.00 10.00
-66.00 -82.00 10.00 | -58.00 -34.00 11.00
-64.00 -83.00 12.00 | -56.00 -33.00 13.00
-61.00 -83.00 15.00 | -54.00 -35.00 16.00
-60.00 -83.00 16.00 | -53.00 -35.00 18.00
-57.00 -83.00 21.00 | -49.00 -35.00 23.00
-54.00 -83.00 25.00 | -45.00 -35.00 26.00
-51.00 -83.00 27.00 | -42.00 -36.00 28.00
-50.00 -84.00 27.00 | -41.00 -36.00 29.00
-46.00 -84.00 28.00 | -37.00 -37.00 30.00
-42.00 -84.00 31.00 | -35.00 -36.00 31.00
-42.00 -84.00 32.00 | -33.00 -36.00 33.00
-37.00 -84.00 33.00 | -29.00 -37.00 34.00
-33.00 -85.00 34.00 | -25.00 -37.00 36.00
-32.00 -84.00 36.00 | -23.00 -37.00 36.00
-25.00 -85.00 37.00 | -16.00 -39.00 37.00
-23.00 -84.00 39.00 | -15.00 -36.00 39.00
-22.00 -83.00 40.00 | -13.00 -36.00 40.00
-16.00 -83.00 41.00 | -7.00 -36.00 41.00
-12.00 -84.00 41.00 | -3.00 -37.00 43.00
-11.00 -83.00 41.00 | 0.00 -36.00 42.00
-6.00 -82.00 42.00 | 3.00 -35.00 43.00
-1.00 -82.00 42.00 | 8.00 -36.00 42.00
0.00 -83.00 41.00 | 12.00 -37.00 39.00
5.00 -84.00 39.00 | 14.00 -37.00 39.00
8.00 -84.00 36.00 | 18.00 -38.00 38.00
10.00 -85.00 36.00 | 23.00 -38.00 34.00
16.00 -85.00 33.00 | 26.00 -39.00 33.00
20.00 -85.00 32.00 | 30.00 -38.00 31.00
22.00 -84.00 31.00 | 34.00 -38.00 28.00
25.00 -85.00 26.00 | 35.00 -39.00 26.00
27.00 -87.00 23.00 | 37.00 -41.00 22.00
30.00 -87.00 21.00 | 39.00 -41.00 19.00
31.00 -87.00 19.00 | 42.00 -40.00 15.00
33.00 -87.00 14.00 | 43.00 -40.00 13.00
35.00 -89.00 12.00 | 44.00 -41.00 9.00
36.00 -88.00 11.00 | 46.00 -41.00 5.00
39.00 -89.00 6.00 | 48.00 -42.00 4.00
39.00 -88.00 4.00 | 48.00 -41.00 1.00
40.00 -89.00 2.00 | 50.00 -41.00 -3.00
41.00 -89.00 -2.00 | 50.00 -42.00 -5.00
41.00 -90.00 -4.00 | 51.00 -42.00 -9.00
42.00 -89.00 -8.00 | 52.00 -42.00 -14.00
44.00 -90.00 -11.00 | 53.00 -42.00 -15.00
44.00 -89.00 -15.00 | 52.00 -42.00 -19.00
44.00 -89.00 -17.00 | 53.00 -40.00 -24.00
44.00 -90.00 -20.00 | 52.00 -41.00 -28.00
42.00 -90.00 -26.00 | 52.00 -41.00 -31.00
41.00 -90.00 -29.00 | 51.00 -41.00 -35.00
42.00 -91.00 -32.00 | 49.00 -42.00 -41.00
39.00 -90.00 -38.00 | 47.00 -41.00 -44.00
38.00 -91.00 -40.00 | 45.00 -41.00 -49.00
36.00 -91.00 -43.00 | 44.00 -41.00 -49.00
37.00 -91.00 -44.00 | 44.00 -41.00 -51.00
35.00 -90.00 -46.00 | 41.00 -41.00 -55.00
32.00 -91.00 -50.00 | 40.00 -42.00 -57.00
31.00 -92.00 -52.00 | 38.00 -41.00 -60.00
29.00 -92.00 -54.00 | 36.00 -41.00 -61.00
28.00 -91.00 -56.00 | 34.00 -41.00 -64.00
26.00 -90.00 -59.00 | 32.00 -41.00 -66.00
25.00 -91.00 -59.00 | 30.00 -40.00 -68.00
24.00 -91.00 -62.00 | 29.00 -39.00 -70.00
22.00 -91.00 -62.00 | 26.00 -40.00 -71.00
21.00 -91.00 -64.00 | 26.00 -40.00 -72.00
20.00 -91.00 -64.00 | 24.00 -40.00 -72.00
20.00 -91.00 -65.00 | 24.00 -40.00 -71.00


13.00 -100.00 -62.00 | 18.00 -50.00 -67.00
15.00 -98.00 -62.00 | 23.00 -47.00 -68.00
15.00 -99.00 -62.00 | 23.00 -49.00 -68.00
17.00 -98.00 -63.00 | 23.00 -49.00 -67.00
17.00 -98.00 -63.00 | 24.00 -47.00 -68.00
16.00 -99.00 -63.00 | 23.00 -46.00 -70.00
12.00 -98.00 -68.00 | 20.00 -46.00 -72.00
10.00 -97.00 -69.00 | 17.00 -45.00 -75.00
9.00 -96.00 -71.00 | 16.00 -45.00 -77.00
5.00 -96.00 -73.00 | 13.00 -46.00 -77.00
0.00 -96.00 -71.00 | 4.00 -45.00 -78.00
-6.00 -97.00 -72.00 | 0.00 -46.00 -79.00
-5.00 -96.00 -73.00 | 0.00 -45.00 -80.00
-8.00 -96.00 -74.00 | -1.00 -45.00 -80.00
-10.00 -96.00 -73.00 | -4.00 -45.00 -79.00
-17.00 -95.00 -74.00 | -12.00 -44.00 -79.00
-18.00 -95.00 -74.00 | -14.00 -44.00 -79.00
-15.00 -96.00 -75.00 | -11.00 -45.00 -79.00
-18.00 -95.00 -75.00 | -13.00 -44.00 -80.00
-23.00 -95.00 -74.00 | -16.00 -44.00 -79.00
-24.00 -95.00 -73.00 | -20.00 -44.00 -79.00
-27.00 -95.00 -73.00 | -22.00 -43.00 -78.00
-28.00 -94.00 -73.00 | -24.00 -43.00 -78.00
-33.00 -94.00 -73.00 | -29.00 -41.00 -78.00
-36.00 -93.00 -72.00 | -32.00 -42.00 -76.00
-39.00 -93.00 -69.00 | -36.00 -42.00 -74.00
-42.00 -93.00 -68.00 | -38.00 -42.00 -73.00
-46.00 -93.00 -67.00 | -42.00 -41.00 -69.00
-50.00 -90.00 -65.00 | -46.00 -39.00 -69.00
-51.00 -91.00 -65.00 | -47.00 -39.00 -68.00
-55.00 -90.00 -62.00 | -51.00 -39.00 -66.00
-58.00 -91.00 -60.00 | -54.00 -39.00 -62.00
-60.00 -89.00 -58.00 | -57.00 -39.00 -59.00
-63.00 -89.00 -53.00 | -58.00 -39.00 -56.00
-65.00 -90.00 -49.00 | -61.00 -39.00 -51.00
-66.00 -90.00 -48.00 | -62.00 -39.00 -48.00
-68.00 -89.00 -43.00 | -63.00 -39.00 -43.00
-71.00 -88.00 -36.00 | -66.00 -38.00 -39.00
-71.00 -88.00 -33.00 | -67.00 -39.00 -34.00
-72.00 -88.00 -32.00 | -67.00 -38.00 -32.00
-72.00 -90.00 -28.00 | -66.00 -39.00 -28.00
-73.00 -89.00 -24.00 | -67.00 -39.00 -24.00
-74.00 -88.00 -21.00 | -68.00 -39.00 -22.00
-74.00 -88.00 -16.00 | -68.00 -38.00 -16.00
-75.00 -88.00 -14.00 | -69.00 -38.00 -11.00
-74.00 -87.00 -10.00 | -68.00 -38.00 -8.00
-74.00 -87.00 -6.00 | -68.00 -37.00 -6.00
-73.00 -87.00 -5.00 | -66.00 -37.00 -2.00
-72.00 -87.00 1.00 | -66.00 -37.00 4.00
-70.00 -87.00 5.00 | -65.00 -38.00 5.00
-68.00 -87.00 10.00 | -62.00 -39.00 10.00
-68.00 -87.00 11.00 | -60.00 -39.00 14.00
-66.00 -86.00 15.00 | -59.00 -39.00 16.00
-63.00 -88.00 17.00 | -55.00 -39.00 19.00
