64.00 -116.00 -32.00 | 79.00 -67.00 -38.00
62.00 -115.00 -32.00 | 76.00 -69.00 -38.00
62.00 -115.00 -29.00 | 76.00 -69.00 -36.00
67.00 -113.00 -27.00 | 83.00 -65.00 -34.00
63.00 -116.00 -24.00 | 75.00 -70.00 -27.00
59.00 -118.00 -16.00 | 74.00 -71.00 -23.00
60.00 -117.00 -16.00 | 77.00 -68.00 -20.00
61.00 -117.00 -14.00 | 77.00 -69.00 -22.00
60.00 -117.00 -22.00 | 77.00 -68.00 -25.00
59.00 -117.00 -24.00 | 74.00 -69.00 -30.00
58.00 -117.00 -29.00 | 73.00 -70.00 -35.00
58.00 -116.00 -33.00 | 73.00 -70.00 -37.00
55.00 -118.00 -39.00 | 69.00 -70.00 -47.00
53.00 -119.00 -43.00 | 67.00 -71.00 -47.00
54.00 -118.00 -45.00 | 68.00 -71.00 -51.00
51.00 -119.00 -50.00 | 65.00 -71.00 -56.00
49.00 -117.00 -53.00 | 63.00 -71.00 -58.00
47.00 -117.00 -55.00 | 62.00 -71.00 -62.00
43.00 -118.00 -59.00 | 56.00 -72.00 -66.00
39.00 -117.00 -65.00 | 55.00 -72.00 -68.00
38.00 -118.00 -67.00 | 50.00 -71.00 -73.00
34.00 -117.00 -71.00 | 49.00 -71.00 -77.00
33.00 -117.00 -73.00 | 47.00 -71.00 -78.00
32.00 -116.00 -75.00 | 47.00 -70.00 -81.00
29.00 -116.00 -78.00 | 42.00 -70.00 -85.00
26.00 -115.00 -82.00 | 39.00 -68.00 -89.00
24.00 -114.00 -86.00 | 35.00 -67.00 -93.00
17.00 -113.00 -89.00 | 28.00 -67.00 -97.00
7.00 -114.00 -93.00 | 20.00 -66.00 -100.00
4.00 -113.00 -93.00 | 15.00 -66.00 -101.00
-4.00 -113.00 -95.00 | 6.00 -66.00 -102.00
-12.00 -112.00 -97.00 | -2.00 -65.00 -104.00
-17.00 -111.00 -98.00 | -6.00 -65.00 -105.00
-23.00 -111.00 -98.00 | -14.00 -64.00 -103.00
-29.00 -111.00 -96.00 | -21.00 -64.00 -101.00
-34.00 -111.00 -95.00 | -27.00 -64.00 -100.00
-40.00 -110.00 -96.00 | -32.00 -63.00 -101.00
-48.00 -107.00 -96.00 | -40.00 -60.00 -101.00
-53.00 -108.00 -94.00 | -45.00 -60.00 -98.00
-55.00 -108.00 -91.00 | -47.00 -60.00 -95.00
-62.00 -107.00 -88.00 | -55.00 -59.00 -92.00
-65.00 -107.00 -85.00 | -59.00 -59.00 -87.00
-68.00 -108.00 -83.00 | -61.00 -59.00 -86.00
-69.00 -108.00 -81.00 | -62.00 -60.00 -83.00
-71.00 -109.00 -78.00 | -66.00 -59.00 -77.00
-77.00 -108.00 -73.00 | -69.00 -60.00 -74.00
-80.00 -109.00 -68.00 | -72.00 -60.00 -68.00
-84.00 -108.00 -65.00 | -75.00 -59.00 -64.00
-85.00 -108.00 -62.00 | -79.00 -59.00 -59.00
-88.00 -108.00 -57.00 | -79.00 -58.00 -57.00
-90.00 -108.00 -53.00 | -81.00 -59.00 -51.00
-90.00 -108.00 -52.00 | -83.00 -58.00 -50.00
-91.00 -107.00 -52.00 | -83.00 -58.00 -49.00
-94.00 -107.00 -50.00 | -84.00 -57.00 -47.00
-96.00 -107.00 -47.00 | -87.00 -56.00 -40.00
-96.00 -107.00 -40.00 | -88.00 -56.00 -38.00
-99.00 -106.00 -35.00 | -89.00 -57.00 -32.00
-99.00 -107.00 -33.00 | -88.00 -56.00 -28.00
-101.00 -106.00 -27.00 | -89.00 -56.00 -22.00
-102.00 -105.00 -22.00 | -90.00 -55.00 -16.00
-102.00 -105.00 -20.00 | -90.00 -54.00 -12.00
-103.00 -105.00 -17.00 | -90.00 -55.00 -10.00
-103.00 -103.00 -12.00 | -91.00 -53.00 -5.00
-103.00 -103.00 -8.00 | -90.00 -54.00 2.00
-104.00 -102.00 0.00 | -89.00 -52.00 7.00
-103.00 -100.00 9.00 | -89.00 -50.00 17.00
-102.00 -100.00 16.00 | -83.00 -51.00 27.00
-100.00 -100.00 24.00 | -82.00 -50.00 31.00
-96.00 -100.00 30.00 | -79.00 -49.00 37.00
-94.00 -98.00 35.00 | -75.00 -47.00 46.00
-90.00 -98.00 41.00 | -67.00 -49.00 50.00
-84.00 -101.00 43.00 | -64.00 -50.00 50.00
-80.00 -103.00 44.00 | -60.00 -52.00 53.00
-77.00 -103.00 46.00 | -56.00 -52.00 56.00
-74.00 -103.00 50.00 | -54.00 -53.00 56.00
-69.00 -104.00 53.00 | -48.00 -54.00 59.00
-67.00 -104.00 55.00 | -43.00 -53.00 62.00
-62.00 -103.00 59.00 | -41.00 -52.00 64.00
-59.00 -104.00 59.00 | -35.00 -53.00 65.00
-53.00 -105.00 63.00 | -30.00 -53.00 68.00
-46.00 -105.00 67.00 | -26.00 -53.00 70.00
-44.00 -104.00 67.00 | -19.00 -54.00 71.00
-36.00 -105.00 69.00 | -13.00 -55.00 71.00
-32.00 -105.00 69.00 | -7.00 -55.00 72.00
-26.00 -105.00 70.00 | -4.00 -55.00 72.00
-22.00 -105.00 71.00 | 0.00 -56.00 71.00
-19.00 -106.00 71.00 | 5.00 -56.00 70.00
-12.00 -107.00 69.00 | 9.00 -57.00 69.00
-8.00 -108.00 67.00 | 16.00 -58.00 67.00
-1.00 -109.00 66.00 | 21.00 -59.00 63.00
3.00 -110.00 64.00 | 23.00 -60.00 62.00
