14.00 -98.00 22.00 | 32.00 -46.00 24.00
15.00 -98.00 22.00 | 31.00 -46.00 24.00
12.00 -97.00 22.00 | 31.00 -47.00 23.00
14.00 -97.00 23.00 | 32.00 -45.00 24.00
14.00 -95.00 25.00 | 31.00 -44.00 26.00
16.00 -96.00 25.00 | 30.00 -44.00 24.00
13.00 -95.00 26.00 | 29.00 -44.00 28.00
15.00 -96.00 26.00 | 31.00 -45.00 25.00
17.00 -96.00 24.00 | 30.00 -45.00 25.00
19.00 -95.00 24.00 | 36.00 -45.00 23.00
24.00 -94.00 23.00 | 38.00 -43.00 24.00
25.00 -93.00 24.00 | 43.00 -42.00 23.00
26.00 -94.00 21.00 | 39.00 -44.00 21.00
18.00 -97.00 18.00 | 38.00 -47.00 18.00
21.00 -98.00 15.00 | 39.00 -47.00 15.00
26.00 -97.00 13.00 | 40.00 -47.00 13.00
22.00 -98.00 11.00 | 40.00 -47.00 10.00
20.00 -101.00 6.00 | 36.00 -50.00 5.00
13.00 -104.00 1.00 | 33.00 -53.00 -1.00
18.00 -103.00 -1.00 | 35.00 -52.00 -2.00
27.00 -101.00 -3.00 | 45.00 -49.00 -6.00
25.00 -102.00 -5.00 | 43.00 -50.00 -7.00
30.00 -101.00 -8.00 | 48.00 -49.00 -11.00
32.00 -100.00 -9.00 | 48.00 -48.00 -13.00
33.00 -100.00 -14.00 | 52.00 -49.00 -18.00
33.00 -100.00 -15.00 | 51.00 -47.00 -22.00
34.00 -100.00 -20.00 | 52.00 -48.00 -26.00
34.00 -101.00 -25.00 | 50.00 -48.00 -28.00
33.00 -99.00 -25.00 | 51.00 -47.00 -31.00
33.00 -99.00 -29.00 | 49.00 -48.00 -33.00
30.00 -100.00 -31.00 | 50.00 -47.00 -38.00
27.00 -101.00 -35.00 | 44.00 -49.00 -44.00
26.00 -100.00 -37.00 | 45.00 -49.00 -44.00
30.00 -100.00 -39.00 | 46.00 -47.00 -48.00
27.00 -99.00 -41.00 | 42.00 -49.00 -47.00
21.00 -101.00 -43.00 | 39.00 -50.00 -51.00
18.00 -100.00 -49.00 | 35.00 -50.00 -53.00
19.00 -100.00 -49.00 | 35.00 -48.00 -61.00
20.00 -100.00 -54.00 | 34.00 -46.00 -62.00
15.00 -99.00 -58.00 | 31.00 -47.00 -68.00
10.00 -99.00 -57.00 | 24.00 -49.00 -65.00
8.00 -99.00 -59.00 | 23.00 -49.00 -67.00
10.00 -99.00 -58.00 | 23.00 -48.00 -67.00
6.00 -99.00 -63.00 | 20.00 -48.00 -70.00
5.00 -98.00 -62.00 | 15.00 -48.00 -72.00
1.00 -98.00 -65.00 | 14.00 -49.00 -73.00
-4.00 -98.00 -67.00 | 7.00 -49.00 -74.00
-6.00 -97.00 -67.00 | 4.00 -48.00 -74.00
-12.00 -97.00 -69.00 | -1.00 -48.00 -75.00
