49.00 -69.00 34.00 | 6.00 3.00 -123.00
49.00 -70.00 33.00 | 6.00 4.00 -123.00
48.00 -69.00 34.00 | 4.00 2.00 -122.00
48.00 -70.00 36.00 | 5.00 2.00 -122.00
48.00 -68.00 35.00 | 4.00 2.00 -122.00
48.00 -70.00 35.00 | 5.00 2.00 -124.00
49.00 -69.00 35.00 | 5.00 1.00 -122.00
49.00 -69.00 35.00 | 5.00 3.00 -122.00
49.00 -69.00 34.00 | 6.00 2.00 -122.00
48.00 -68.00 35.00 | 5.00 2.00 -122.00
48.00 -69.00 35.00 | 5.00 2.00 -122.00
49.00 -70.00 35.00 | 6.00 2.00 -122.00
48.00 -69.00 34.00 | 5.00 2.00 -122.00
47.00 -70.00 35.00 | 5.00 2.00 -123.00
48.00 -68.00 35.00 | 5.00 1.00 -123.00
48.00 -69.00 36.00 | 5.00 1.00 -122.00
48.00 -68.00 35.00 | 4.00 3.00 -123.00
48.00 -69.00 34.00 | 6.00 1.00 -122.00
48.00 -70.00 35.00 | 4.00 3.00 -122.00
48.00 -69.00 35.00 | 4.00 3.00 -123.00
48.00 -70.00 34.00 | 3.00 2.00 -123.00
48.00 -70.00 34.00 | 4.00 2.00 -123.00
48.00 -70.00 35.00 | 4.00 2.00 -123.00
48.00 -70.00 35.00 | 3.00 3.00 -122.00
48.00 -69.00 35.00 | 3.00 2.00 -122.00
48.00 -70.00 34.00 | 4.00 3.00 -123.00
47.00 -70.00 33.00 | 4.00 3.00 -123.00
48.00 -70.00 34.00 | 3.00 3.00 -122.00
48.00 -70.00 34.00 | 3.00 2.00 -122.00
47.00 -70.00 36.00 | 4.00 2.00 -123.00
47.00 -70.00 34.00 | 3.00 2.00 -123.00
49.00 -69.00 35.00 | 4.00 2.00 -123.00
47.00 -70.00 35.00 | 3.00 2.00 -123.00
47.00 -69.00 34.00 | 4.00 2.00 -121.00
48.00 -70.00 34.00 | 3.00 2.00 -122.00
47.00 -70.00 35.00 | 3.00 2.00 -123.00
