18.00 -114.00 -62.00 | 41.00 -58.00 -69.00
13.00 -114.00 -61.00 | 36.00 -59.00 -69.00
9.00 -115.00 -64.00 | 34.00 -58.00 -71.00
7.00 -115.00 -67.00 | 31.00 -58.00 -73.00
2.00 -119.00 -66.00 | 22.00 -59.00 -76.00
0.00 -125.00 -64.00 | 21.00 -59.00 -77.00
5.00 -131.00 -60.00 | 17.00 -59.00 -79.00
9.00 -130.00 -60.00 | 18.00 -59.00 -78.00
13.00 -127.00 -55.00 | 22.00 -58.00 -79.00
15.00 -126.00 -55.00 | 18.00 -58.00 -81.00
20.00 -117.00 -67.00 | 13.00 -57.00 -84.00
25.00 -108.00 -73.00 | 19.00 -53.00 -87.00
25.00 -105.00 -75.00 | 20.00 -53.00 -89.00
24.00 -100.00 -82.00 | 19.00 -51.00 -92.00
22.00 -95.00 -93.00 | 16.00 -51.00 -94.00
-1.00 -89.00 -111.00 | 1.00 -51.00 -94.00
-12.00 -87.00 -112.00 | -9.00 -53.00 -94.00
-15.00 -86.00 -111.00 | -7.00 -53.00 -93.00
-24.00 -86.00 -108.00 | -9.00 -54.00 -90.00
-28.00 -87.00 -106.00 | -11.00 -56.00 -85.00
-35.00 -90.00 -101.00 | -12.00 -58.00 -83.00
-37.00 -92.00 -98.00 | -13.00 -60.00 -80.00
-39.00 -94.00 -94.00 | -13.00 -59.00 -79.00
-41.00 -95.00 -93.00 | -14.00 -59.00 -79.00
-41.00 -94.00 -94.00 | -15.00 -59.00 -80.00
-43.00 -94.00 -91.00 | -17.00 -58.00 -79.00
-46.00 -96.00 -87.00 | -23.00 -60.00 -76.00
-52.00 -97.00 -81.00 | -27.00 -60.00 -73.00
-53.00 -97.00 -81.00 | -32.00 -59.00 -70.00
-57.00 -97.00 -77.00 | -38.00 -59.00 -67.00
-60.00 -98.00 -72.00 | -40.00 -59.00 -65.00
-61.00 -98.00 -70.00 | -41.00 -60.00 -61.00
-65.00 -99.00 -68.00 | -43.00 -60.00 -59.00
-66.00 -98.00 -66.00 | -46.00 -59.00 -59.00
-70.00 -96.00 -65.00 | -50.00 -58.00 -56.00
-74.00 -95.00 -63.00 | -55.00 -56.00 -54.00
-75.00 -94.00 -64.00 | -58.00 -56.00 -54.00
-76.00 -94.00 -62.00 | -58.00 -55.00 -52.00
-79.00 -93.00 -58.00 | -61.00 -56.00 -48.00
-81.00 -92.00 -53.00 | -62.00 -55.00 -45.00
-81.00 -95.00 -50.00 | -63.00 -56.00 -38.00
-83.00 -95.00 -46.00 | -65.00 -54.00 -35.00
-84.00 -94.00 -45.00 | -65.00 -55.00 -33.00
-84.00 -95.00 -41.00 | -66.00 -55.00 -29.00
-85.00 -96.00 -37.00 | -65.00 -56.00 -26.00
-86.00 -95.00 -35.00 | -65.00 -56.00 -23.00
-86.00 -95.00 -31.00 | -64.00 -56.00 -19.00
-86.00 -95.00 -26.00 | -66.00 -54.00 -14.00
-89.00 -94.00 -23.00 | -67.00 -54.00 -10.00
-89.00 -93.00 -18.00 | -68.00 -52.00 -5.00
-89.00 -93.00 -16.00 | -68.00 -52.00 -3.00
-90.00 -92.00 -14.00 | -68.00 -52.00 -1.00
-87.00 -94.00 -10.00 | -65.00 -53.00 2.00
-86.00 -95.00 -8.00 | -64.00 -54.00 5.00
-89.00 -91.00 -5.00 | -68.00 -50.00 9.00
-89.00 -90.00 2.00 | -66.00 -49.00 15.00
-87.00 -90.00 11.00 | -63.00 -48.00 22.00
-86.00 -89.00 15.00 | -62.00 -46.00 27.00
-83.00 -89.00 21.00 | -59.00 -46.00 31.00
-80.00 -90.00 25.00 | -54.00 -46.00 35.00
-78.00 -91.00 27.00 | -53.00 -46.00 36.00
-72.00 -91.00 29.00 | -49.00 -48.00 38.00
-72.00 -91.00 32.00 | -48.00 -46.00 41.00
-70.00 -91.00 35.00 | -48.00 -45.00 43.00
-68.00 -89.00 38.00 | -47.00 -44.00 46.00
-64.00 -91.00 40.00 | -44.00 -44.00 48.00
-62.00 -91.00 41.00 | -43.00 -44.00 51.00
-57.00 -93.00 43.00 | -39.00 -42.00 54.00
-53.00 -94.00 45.00 | -35.00 -42.00 57.00
-50.00 -94.00 45.00 | -33.00 -41.00 59.00
-46.00 -95.00 47.00 | -28.00 -39.00 64.00
-44.00 -95.00 47.00 | -19.00 -36.00 68.00
-39.00 -95.00 51.00 | -14.00 -36.00 71.00
-30.00 -95.00 53.00 | -1.00 -35.00 71.00
-26.00 -95.00 55.00 | 6.00 -35.00 71.00
-24.00 -95.00 55.00 | 9.00 -35.00 71.00
-18.00 -97.00 53.00 | 17.00 -37.00 67.00
-15.00 -98.00 52.00 | 23.00 -39.00 64.00
-11.00 -100.00 50.00 | 26.00 -40.00 61.00
-4.00 -102.00 48.00 | 32.00 -43.00 57.00
-1.00 -102.00 46.00 | 37.00 -46.00 51.00
3.00 -106.00 40.00 | 40.00 -47.00 46.00
5.00 -107.00 36.00 | 43.00 -51.00 41.00
7.00 -108.00 35.00 | 46.00 -52.00 35.00
13.00 -109.00 30.00 | 49.00 -53.00 31.00
14.00 -111.00 27.00 | 49.00 -54.00 28.00
18.00 -111.00 25.00 | 52.00 -54.00 23.00
23.00 -111.00 21.00 | 57.00 -54.00 18.00
26.00 -111.00 19.00 | 58.00 -54.00 16.00
26.00 -112.00 15.00 | 58.00 -54.00 13.00
28.00 -111.00 13.00 | 60.00 -54.00 10.00
31.00 -112.00 10.00 | 61.00 -55.00 8.00
32.00 -112.00 7.00 | 61.00 -55.00 3.00
33.00 -113.00 3.00 | 61.00 -57.00 -3.00
34.00 -114.00 -4.00 | 61.00 -57.00 -7.00
35.00 -114.00 -6.00 | 61.00 -57.00 -11.00
